Graph
Time (Seconds),x (Meters),y (Meters),z (Meters)
12.500000,0.266365,0.279078,0.004834
12.550000,0.266303,0.280461,0.004824
12.600000,0.266249,0.281852,0.004832
12.650001,0.266179,0.283344,0.004829
12.700000,0.266167,0.284803,0.004829
12.750000,0.266108,0.286161,0.004831
12.800000,0.266084,0.287614,0.004831
12.850000,0.266047,0.289052,0.004833
12.900001,0.265959,0.290450,0.004822
12.950000,0.265857,0.292095,0.004834
13.000000,0.265706,0.293508,0.004822
13.050000,0.265651,0.294889,0.004825
13.100000,0.265564,0.296362,0.004819
13.150001,0.265411,0.297918,0.004832
13.200000,0.265317,0.299231,0.004822
13.250000,0.265179,0.300676,0.004813
13.300000,0.265084,0.302176,0.004831
13.350000,0.264947,0.303613,0.004824
13.400001,0.264756,0.305089,0.004822
13.450000,0.264629,0.306433,0.004827
13.500000,0.264480,0.307943,0.004831
13.550000,0.264295,0.309366,0.004821
13.600000,0.264157,0.310775,0.004829
13.650001,0.264015,0.312177,0.004820
13.700000,0.263725,0.313730,0.004821
13.750000,0.263628,0.315113,0.004821
13.800000,0.263395,0.316580,0.004824
13.850000,0.263210,0.317973,0.004820
13.900001,0.262941,0.319336,0.004830
13.950000,0.262764,0.320708,0.004826
14.000000,0.262586,0.322144,0.004823
14.050000,0.262319,0.323626,0.004829
14.100000,0.262077,0.325038,0.004831
14.150001,0.261780,0.326603,0.004834
14.200000,0.261495,0.328013,0.004832
14.250000,0.261152,0.329389,0.004819
14.300000,0.260849,0.330786,0.004829
14.350000,0.260541,0.332204,0.004833
14.400001,0.260321,0.333503,0.004831
14.450000,0.260121,0.334852,0.004823
14.500000,0.259887,0.336351,0.004833
14.550000,0.259495,0.337804,0.004822
14.600000,0.259118,0.339175,0.004822
14.650001,0.258847,0.340574,0.004831
14.700000,0.258568,0.341899,0.004823
14.750000,0.258270,0.343209,0.004821
14.800000,0.257984,0.344659,0.004832
14.850000,0.257734,0.346103,0.004821
14.900001,0.257428,0.347462,0.004830
14.950000,0.257109,0.348837,0.004831
15.000000,0.256728,0.350319,0.004831
15.050000,0.256403,0.351698,0.004823
15.100000,0.256061,0.352962,0.004820
15.150001,0.255675,0.354400,0.004831
15.200000,0.255277,0.355830,0.004822
15.250000,0.254873,0.357179,0.004826
15.300000,0.254548,0.358554,0.004826
15.350000,0.254123,0.359886,0.004813
15.400001,0.253632,0.361336,0.004819
15.450000,0.253296,0.362648,0.004821
15.500000,0.252891,0.364140,0.004833
15.550000,0.252445,0.365520,0.004820
15.600000,0.251950,0.366918,0.004831
15.650001,0.251472,0.368305,0.004834
15.700000,0.251042,0.369626,0.004822
15.750000,0.250543,0.370997,0.004821
15.800000,0.250008,0.372323,0.004830
15.850000,0.249447,0.373803,0.004834
15.900001,0.248977,0.375128,0.004818
